id;kd_do;kode_barang;kd_faktur;tgl_transaksi;nama_barang;expired_date;qty;qty_pcs;qty_box;no_lot;exp_date
1;KD01;QTANG49;D26001454;2026-01-27;Tangki Dragon Star 16 ltr baterai (Biru);1000-01-01;18;17;0;1;1000-01-01
2;KD02;QPOLY43;B26003132;2026-03-03;Polybag Alpen 2.5/5 X 15 cm - 50 X 500 gr;1000-01-01;6;6;0;50;1000-01-01
3;KD03;QSPRA47;D26001445X;2026-01-27;Sprayer Ultra Elektrik New 16 ltr Type 4;1000-01-01;17;17;0;1;1000-01-01
4;KD04;QKNO303;B26008222X;2026-06-27;KNO3 Putih P Tani 15 X 2 kg;2029-02-01;750;0;50;15;2029-02-01
5;KD05;QKNO301;B26008222X;2026-06-27;KNO3 Merah P Tani 15 X 2 kg;2029-04-01;750;0;50;15;2029-04-01
6;KD06;QSPRA15;B26008433X;2026-07-01;Sprayer Elektrik Quda Karisma 16 ltr;1000-01-01;83;83;0;1;1000-01-01
7;KD07;QROUN01;B26007006;2026-06-03;Round Up 486 SL 12 X 1 ltr;2031-04-01;6000;0;500;12;2031-04-01
8;KD08;QROUN01;B26007007;2026-06-03;Round Up 486 SL 12 X 1 ltr;2031-04-01;6000;0;500;12;2031-04-01
9;KD09;QROUN01;B26007008;2026-06-03;Round Up 486 SL 12 X 1 ltr;2031-04-01;6000;0;500;12;2031-04-01
10;KD10;QRICE03;D26009281;2026-06-19;Ricestar Xtra 89 OD 100 X 100 ml;2027-01-01;1000;0;10;100;2027-01-01
11;KD11;QPOLY32;D26009492;2026-06-24;Polybag Alpen 10/20 X 20 cm - 25 X 1 kg;1000-01-01;25;0;1;25;1000-01-01
12;KD12;QRICE04;B26008132;2026-06-25;Ricestar Xtra 89 OD 40 X 250 ml;2027-05-01;520;0;13;40;2027-05-01
13;KD13;QJAGU112;B26008287;2026-06-29;Jagung P27 Lumigen 20 X 1 kg;2027-01-23;300;0;15;20;2027-01-23
